학교ID,학교명,학교급구분,위도,경도,시도명,시군구명,읍면동명,현행_농어촌,α1_학원수,β1_최단광역접근시간,β2_광역접근가능시설수,γ1_학령인구10대,δ1_사교육비,δ3_참여율,α1_학원수_norm,β1_최단광역접근시간_norm,β2_광역접근가능시설수_norm,γ1_학령인구10대_norm,δ1_사교육비_norm,δ3_참여율_norm,E_s,G_괴리도
B000009308,성포중학교,중학교,37.33552772,126.8512845,경기도,안산시 상록구,월피동,0,0,33.41,0.15,2699,48.2,75.6,0.0,0.7795282679150163,0.02626970227670753,0.17672865374541646,0.4087136929460581,0.8026755852842806,0.3656526503612465,0.634
B000024614,순천승남중학교,중학교,34.96430055,127.2608322,전라남도,순천시,송광면,1,713,108.12,0.35,19,33.6,63.7,0.20589084608720765,0.10694994598487573,0.06129597197898423,0.001244106862231535,0.10580912863070535,0.4046822742474918,0.14764537896524937,0.148
B000024648,한백고등학교,고등학교,37.20763155,127.1133605,경기도,화성시,영천동,0,3463,49.91,0.41,5563,57.3,67.5,1.0,0.6309866762693555,0.07180385288966724,0.3642613933996857,0.5975103734439834,0.5317725752508362,0.5327224785422547,0.467
B000026500,송양중학교,중학교,37.75172729,127.1044225,경기도,의정부시,낙양동,0,1164,37.36,0.16,5835,48.2,75.6,0.33612474732890557,0.7439683111271156,0.028021015761821366,0.3820717653221582,0.4087136929460581,0.8026755852842806,0.4502625196283899,0.55
B000011529,일죽고등학교,고등학교,37.0914178,127.4733715,경기도,안성시,일죽면,1,349,84.92,0.0,410,57.3,67.5,0.10077967080565985,0.31580842635938056,0.0,0.026846516500785754,0.5975103734439834,0.5317725752508362,0.2621195937267743,0.262
B000012953,서해삼육고등학교,고등학교,36.50662283,126.6269267,충청남도,홍성군,광천읍,1,199,44.77,1.49,391,34.0,53.5,0.05746462604678025,0.6772596326971552,0.2609457092819615,0.02560240963855422,0.11410788381742731,0.0635451505016722,0.1998209019972584,0.2
B000013036,완주고등학교,고등학교,35.94076736,127.1662965,전북특별자치도,완주군,봉동읍,1,205,41.05,0.09,3078,34.4,52.7,0.059197227837135435,0.7107490097227224,0.01576182136602452,0.20154531168150866,0.12240663900414928,0.03678929765886285,0.19107488454506716,0.191
B000010941,대창중학교,중학교,36.6600499,128.4552453,경상북도,예천군,예천읍,1,113,19.82,1.64,1061,34.3,68.4,0.03263066705168929,0.9018725243068059,0.287215411558669,0.06947354635935045,0.12033195020746879,0.561872909698997,0.32889950153049674,0.329
B000008463,영훈국제중학교,중학교,37.61468187,127.0280933,서울특별시,강북구,미아동,0,388,31.5,0.36,1200,66.4,81.5,0.11204158244296854,0.7967230824630896,0.06304728546409807,0.0785751702462022,0.7863070539419087,0.9999999999999998,0.47278236242637783,0.527
B000010178,예산중학교,중학교,36.67841854,126.8337459,충청남도,예산군,예산읍,1,105,20.81,1.96,2638,35.6,67.5,0.030320531331215712,0.8929600288080662,0.3432574430823117,0.17273441592456784,0.14730290456431538,0.5317725752508362,0.3530579831602188,0.353
B000010180,삽교중학교,중학교,36.68661525,126.7495186,충청남도,예산군,삽교읍,1,105,55.51,0.16,1641,35.6,67.5,0.030320531331215712,0.5805725603168888,0.028021015761821366,0.10745154531168151,0.14730290456431538,0.5317725752508362,0.2375735220894598,0.238
B000012320,문성고등학교,고등학교,35.12045939,126.9049884,광주광역시,남구,봉선동,0,916,35.06,0.3,5043,41.3,60.7,0.2645105399942247,0.76467410875045,0.05253940455341506,0.3302121529596648,0.2655601659751037,0.30434782608695676,0.3303073663866358,0.67
B000030828,군산영광중학교,중학교,35.98268795,126.7142607,전북특별자치도,군산시,중앙로2가,0,660,12.41,2.0,168,37.4,64.9,0.1905861969390702,0.9685812027367663,0.3502626970227671,0.011000523834468309,0.18464730290456421,0.44481605351170583,0.35831566282489036,0.642
B000010239,전주동중학교,중학교,35.83858477,127.1508852,전북특별자치도,전주시 덕진구,인후동2가,0,0,25.48,2.64,593,37.4,64.9,0.0,0.8509182571119913,0.46234676007005254,0.03882922996333159,0.18464730290456421,0.44481605351170583,0.3302596005936076,0.67
B000012138,성도고등학교,고등학교,35.19397545,129.0054379,부산광역시,북구,구포동,0,642,18.86,1.33,2323,44.0,59.9,0.18538839156800463,0.9105149441843716,0.2329246935201401,0.15210843373493976,0.32157676348547715,0.277591973244147,0.34668419995618005,0.653
B000013180,신라고등학교,고등학교,35.83985237,129.1875967,경상북도,경주시,충효동,0,553,16.0,2.67,1438,29.8,52.8,0.15968813167773607,0.9362621534029528,0.46760070052539404,0.09415924567836564,0.026970954356846488,0.04013377926421402,0.2874691608175848,0.713
B000013337,동원고등학교,고등학교,34.87046484,128.4130674,경상남도,통영시,광도면,1,270,24.05,0.82,4692,35.1,58.3,0.07796708056598325,0.863791861721282,0.1436077057793345,0.3072289156626506,0.13692946058091282,0.22408026755852828,0.2922675486447819,0.292
B000008720,학산중학교,중학교,35.83142406,128.5257973,대구광역시,달서구,월성동,0,1756,25.74,0.89,803,47.4,74.8,0.5070747906439503,0.848577601728484,0.15586690017513136,0.05257988475641698,0.39211618257261405,0.7759197324414713,0.455355848719678,0.545
B000009688,회천중학교,중학교,37.83264346,127.0709384,경기도,양주시,고암동,0,597,37.65,0.0,2541,48.2,75.6,0.17239387814034077,0.7413575801224342,0.0,0.16638292299633317,0.4087136929460581,0.8026755852842806,0.38192060991490784,0.618
B000008516,초읍중학교,중학교,35.18096061,129.0557404,부산광역시,부산진구,초읍동,0,899,27.37,0.88,1469,47.4,72.2,0.2596015015882183,0.8339034929780338,0.15411558669001751,0.0961891042430592,0.39211618257261405,0.6889632107023413,0.40414817979571405,0.596
B000011400,대구일마이스터고등학교,고등학교,35.88205162,128.6472193,대구광역시,동구,효목동,0,892,19.19,2.33,527,49.0,62.1,0.25758013283280395,0.9075441123514584,0.4080560420315237,0.03450759559979047,0.425311203319502,0.3511705685618731,0.3973616091161585,0.603
B000010031,천안성성중학교,중학교,36.8376315,127.1350369,충청남도,천안시 서북구,두정동,0,0,31.05,1.79,7493,35.6,67.5,0.0,0.8007742167806986,0.3134851138353765,0.49063645887899426,0.14730290456431538,0.5317725752508362,0.3806618782183701,0.619
B000010851,경산중학교,중학교,35.82428626,128.7484647,경상북도,경산시,계양동,0,672,24.24,1.04,3880,34.3,68.4,0.19405140051978054,0.8620813827871804,0.18213660245183888,0.25405971712938713,0.12033195020746879,0.561872909698997,0.36242232713244205,0.638
B000011621,당진정보고등학교,고등학교,36.89207275,126.6246862,충청남도,당진시,채운동,0,325,35.07,0.26,2670,34.0,53.5,0.09384926364423911,0.7645840835433921,0.04553415061295972,0.1748297537977999,0.11410788381742731,0.0635451505016722,0.2094083809862484,0.791
B000023202,대전도안고등학교,고등학교,36.33692213,127.3373195,대전광역시,유성구,원신흥동,0,1155,40.73,0.0,3318,48.6,63.9,0.3335258446433728,0.7136298163485776,0.0,0.2172603457307491,0.41701244813278004,0.4113712374581937,0.34879994871894554,0.651
